size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
19,6,2,5,4,0,pso,17,0.1111111111111111,0.358,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]",8 0 6 4 6 5 1 2 4 2 2 0 2 5 2 1 4 9 44 8 2 6 2 2 2 6 2 5 1 9 0 4 1 0 4 5 4
19,6,2,5,4,0,psoPure,17,0.1111111111111111,0.355,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]",8 0 6 4 6 5 1 2 4 2 2 0 2 5 2 1 4 9 44 8 2 6 2 2 2 6 2 5 1 9 0 4 1 0 4 5 4
19,6,2,5,4,0,psoComb,17,0.1111111111111111,1.663,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]",8 0 6 4 6 5 1 2 4 2 2 0 2 5 2 1 4 9 44 8 2 6 2 2 2 6 2 5 1 9 0 4 1 0 4 5 4
19,6,2,5,4,,FPT,16,0.16666666666666666,2.73,,,8 0 6 4 6 5 1 2 4 2 2 0 2 5 2 1 4 9 44 8 2 6 2 2 2 6 2 5 1 9 0 4 1 0 4 5 4
20,4,5,5,9,,combine,16,0.21052631578947367,0.0,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]",0 3 0 0 1 3 3 8 2 5 2 2 1 0 7 4 2 0 6 30 4 0 0 3 3 1 8 0 2 1 3 5 3 0 7 2 2 2 6
20,4,5,5,9,,combineS,16,0.21052631578947367,0.0,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]",0 3 0 0 1 3 3 8 2 5 2 2 1 0 7 4 2 0 6 30 4 0 0 3 3 1 8 0 2 1 3 5 3 0 7 2 2 2 6
20,4,5,5,9,,greedy,16,0.21052631578947367,0.001,"[0,3,0 0,1,3 3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0 0,3 3,1,8,0,2,1,3,5,3,0 7,2 2,2,6]",0 3 0 0 1 3 3 8 2 5 2 2 1 0 7 4 2 0 6 30 4 0 0 3 3 1 8 0 2 1 3 5 3 0 7 2 2 2 6
20,4,5,5,9,0,pso,16,0.21052631578947367,0.945,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]",0 3 0 0 1 3 3 8 2 5 2 2 1 0 7 4 2 0 6 30 4 0 0 3 3 1 8 0 2 1 3 5 3 0 7 2 2 2 6
20,4,5,5,9,0,psoPure,16,0.21052631578947367,0.966,"[0,3,0 0,1,3 3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0 0,3 3,1,8,0,2,1,3,5,3,0 7,2,2 2,6]",0 3 0 0 1 3 3 8 2 5 2 2 1 0 7 4 2 0 6 30 4 0 0 3 3 1 8 0 2 1 3 5 3 0 7 2 2 2 6
20,4,5,5,9,0,psoComb,16,0.21052631578947367,2.19,"[0 3,0,0,1 3,3,8,2,5,2 2,1,0 7,4,2,0,6,3]","[0,4,0,0 3,3,1,8,0,2,1 3,5,3,0 7,2 2,2,6]",0 3 0 0 1 3 3 8 2 5 2 2 1 0 7 4 2 0 6 30 4 0 0 3 3 1 8 0 2 1 3 5 3 0 7 2 2 2 6
